CANDIDATE_ID,TAG
27a406e1-f7cc-4e09-b4b1-725941f80df6,MIT
27a406e1-f7cc-4e09-b4b1-725941f80df6,MIT Career Fair
b58ec071-ca43-4752-beac-75be971fb697,Rice University
b58ec071-ca43-4752-beac-75be971fb697,Grace Hopper 2018
b58ec071-ca43-4752-beac-75be971fb697,Rice CS Mixer 2018
85f95329-62cd-4fa0-86cf-de40b1a7bf99,MIT
85f95329-62cd-4fa0-86cf-de40b1a7bf99,MIT Career Fair
6049d907-7703-4ff2-99cc-fcc3b90c6be8,Harvard
6049d907-7703-4ff2-99cc-fcc3b90c6be8,Harvard Career Fair 2018
946379a7-82af-405b-b8ba-56f9513b00bc,UC Berkeley
946379a7-82af-405b-b8ba-56f9513b00bc,Cal Career Fair 2018
ead32cc4-7229-4a09-8b69-1f485171b687,Yale
7817105e-4f98-4a64-8056-039ffcbbb24c,UC Berkeley
7b57ef8d-9560-467a-896b-73041a083110,MIT
7b57ef8d-9560-467a-896b-73041a083110,MIT Career Fair
7b57ef8d-9560-467a-896b-73041a083110,OCI
09547bba-0641-4848-933e-ca411a227058,MIT
3d87ee0e-21a4-49b1-98d6-6a642fecfa68,MIT
3d87ee0e-21a4-49b1-98d6-6a642fecfa68,MIT Career Fair
a78401ec-7ef6-42b3-a2fa-07abf9f30d82,UIUC
66661fbb-74ec-4298-b14e-654a655e5a07,MIT
e66cc88e-6101-4cc6-a6ae-14189cc0aeb2,Harvard
e66cc88e-6101-4cc6-a6ae-14189cc0aeb2,Harvard Career Fair 2018
e66cc88e-6101-4cc6-a6ae-14189cc0aeb2,OCI
e93e33b2-720e-4cf1-900d-aa21f02da95e,UC Berkeley
e93e33b2-720e-4cf1-900d-aa21f02da95e,OCI
29e2dcb8-8493-4287-994f-fb42a71b4365,Harvard
29e2dcb8-8493-4287-994f-fb42a71b4365,Harvard Career Fair 2018
29e2dcb8-8493-4287-994f-fb42a71b4365,OCI
5fd77e00-a3eb-403a-b654-31e961e8bd26,Columbia
3eff82ba-d8c0-481e-bb98-151963f028fd,UC Berkeley
3eff82ba-d8c0-481e-bb98-151963f028fd,Cal Career Fair 2018
3eff82ba-d8c0-481e-bb98-151963f028fd,OCI
5380f805-190f-444b-b738-117917c1159b,UC Berkeley
5380f805-190f-444b-b738-117917c1159b,Cal Career Fair 2018
5380f805-190f-444b-b738-117917c1159b,OCI
7df3c300-093f-453d-9f15-0cdaeeb3411c,UC Berkeley
7df3c300-093f-453d-9f15-0cdaeeb3411c,Cal Career Fair 2018
7df3c300-093f-453d-9f15-0cdaeeb3411c,OCI
e4eb5530-e208-4e91-a9cc-59433bd52afe,UC Berkeley
